,id,forward,incline,layer,side,street_name,surface,width,length,v_coordinates,u_coordinates,adjacent_parks
0,9,0.0,36,0,S,N 51ST ST,concrete,1.8288,187.74098337659387,"[-122.32838006973174, 47.665678705292294]","[-122.33088054928294, 47.66569498647202]",[]
1,27,1.0,7,0,W,PHINNEY AVE N,concrete,1.8288,62.31945367217557,"[-122.35452959651813, 47.67120776374027]","[-122.35452680492595, 47.67176847642798]",[]
2,61,1.0,27,0,N,N 63RD ST,concrete,1.8288,189.53185985293365,"[-122.3307857990909, 47.674483918179156]","[-122.32826124996414, 47.67445661814672]",[]
3,108,0.0,0,0,S,N 80TH ST,concrete,1.8288,6.068035738073387,"[-122.33094008312128, 47.686815622904646]","[-122.33102092633249, 47.68681656276694]",[]
4,109,0.0,30,0,S,N 80TH ST,concrete,1.8288,31.11128921920308,"[-122.33052559377094, 47.686810803263434]","[-122.33094008312128, 47.686815622904646]",[]
5,119,0.0,62,0,S,N 74TH ST,concrete,1.8288,69.56418370819,"[-122.34533783657758, 47.68251063364709]","[-122.34626468335037, 47.682512713058145]",[]
6,177,0.0,0,0,NE,KENSINGTON PL N,concrete,1.8288,84.14021816868444,"[-122.32914464937285, 47.66744086715421]","[-122.3286903850781, 47.66674879832082]",[]
7,188,1.0,90,0,N,N 66TH ST,concrete,1.8288,73.06865222952497,"[-122.3320305671055, 47.67744468850995]","[-122.33108075166142, 47.677300707136]",[]
8,279,1.0,40,0,N,NE 68TH ST,concrete,1.8288,186.7295875598684,"[-122.3199932063003, 47.67809467885593]","[-122.31750576903634, 47.6780697538368]",[]
9,303,0.0,0,0,E,PHINNEY AVE N,concrete,1.8288,64.09418715093555,"[-122.35423511242266, 47.673117008921295]","[-122.35423914491255, 47.67254033157767]",[]
10,345,1.0,-23,0,W,6TH AVE NE,concrete,1.8288,154.75300529871407,"[-122.32236476708918, 47.67440235885541]","[-122.32241145870925, 47.67579437838047]",[]
11,352,1.0,-62,0,N,N 74TH ST,concrete,1.8288,95.73577321905711,"[-122.3462684572158, 47.68262516109848]","[-122.34499292395341, 47.68263041007418]",[]
12,415,0.0,-2,0,S,N 72ND ST,concrete,1.8288,196.06645947352482,"[-122.34719653850671, 47.68099325344386]","[-122.34980878973825, 47.68099599399162]",[]
13,477,0.0,3,0,E,9TH AVE NE,concrete,1.6256,13.66546710294544,"[-122.31864829041601, 47.672502807963745]","[-122.31868402701704, 47.67238224662178]",[]
14,485,1.0,0,0,W,EAST GREEN LAKE WAY N,N/A,1.8288,5.49292738024945,"[-122.332273426194, 47.677366008916756]","[-122.33225752046881, 47.67741424953258]",['GREEN LAKE PARK']
15,486,1.0,-4,0,W,EAST GREEN LAKE WAY N,N/A,1.8288,145.0560306991879,"[-122.33272177962715, 47.676098244768596]","[-122.33265846832215, 47.676198182819675]",['GREEN LAKE PARK']
16,487,1.0,-4,0,W,EAST GREEN LAKE WAY N,N/A,1.8288,9.948384232497645,"[-122.3327739130173, 47.67601595094334]","[-122.33272177962715, 47.676098244768596]",['GREEN LAKE PARK']
17,546,1.0,-27,0,SW,KENSINGTON PL N,concrete,1.8288,78.55260665744899,"[-122.3306346767418, 47.66943375063555]","[-122.33105879248477, 47.67007986112521]",[]
18,559,1.0,0,0,N,N 65TH ST,concrete,1.2191999999999998,6.086518412593867,"[-122.32823418820892, 47.67600849667249]","[-122.32815312752123, 47.67600716405987]",[]
19,560,1.0,-4,0,N,N 65TH ST,concrete,1.2191999999999998,96.5718235504714,"[-122.32952033929826, 47.676029632927595]","[-122.32823418820892, 47.67600849667249]",[]
20,575,1.0,0,0,W,DAYTON AVE N,concrete,1.8288,6.315940041703671,"[-122.35272922144291, 47.676851191733]","[-122.35272872724808, 47.67690801801364]",[]
21,576,1.0,-42,0,W,DAYTON AVE N,concrete,1.8288,82.72739778485258,"[-122.35273569434432, 47.676106870123846]","[-122.35272922144291, 47.676851191733]",[]
22,594,0.0,7,0,E,EAST GREEN LAKE WAY N,concrete,1.8288,148.16474473184104,"[-122.33206226462968, 47.67733425703893]","[-122.33244204107095, 47.67616055750859]",[]
23,606,1.0,0,0,N,NE 68TH ST,concrete,1.9811999999999999,17.257108284346867,"[-122.32386503926277, 47.67763337913158]","[-122.32364597174617, 47.677680492221576]",[]
24,612,0.0,-3,0,E,LATONA AVE NE,concrete,1.8288,69.92586138547345,"[-122.32547412797162, 47.66857104621735]","[-122.32547166879883, 47.667941895634904]",[]
