,the_geom,PMAID,NAME,ADDRESS,LOCID,AMWO_ID,RES1,RES2,POINT_X,POINT_Y,closest sidewalk id,closest sidewalk point
0,POINT (-122.37645967775981 47.49864590067043),466,Seola Park,11399 Seola Beach Dr SW,,,,,1258987.40615389,185715.6680643,22924,POINT (-122.2536654423589 47.67156461734921)
1,POINT (-122.34919793605252 47.627801501258),763,Ward Springs Park,4th Ave N & Ward St,,,,,1266652.99613765,232684.04624021,22924,POINT (-122.2536654423589 47.67156461734921)
2,POINT (-122.34143430472726 47.60671152334513),3973,Waterfront Park,1401 Alaskan Way,,,,,1268416.2672174,224955.02232821,22924,POINT (-122.2536654423589 47.67156461734921)
3,POINT (-122.34519773064993 47.63622121217789),4422,MacLean Park,1922 Taylor Ave N,,,,,1267699.52390023,235735.27012463,22924,POINT (-122.2536654423589 47.67156461734921)
4,POINT (-122.28343166125323 47.65499119236359),475,Belvoir Place,3659 42nd Ave NE,,,,,1283053.76254864,242287.66056314,22924,POINT (-122.2536654423589 47.67156461734921)
5,POINT (-122.40616811862613 47.67228555629525),4161,Northwest 60th St. Viewpoint,6001 Seaview Ave NW,,,,,1252939.50191115,249188.80260071,22924,POINT (-122.2536654423589 47.67156461734921)
6,POINT (-122.35992171710438 47.629427752801675),342,Kerry Park,211 W Highland Dr,,,,,1264020.96728098,233329.39731172,22924,POINT (-122.2536654423589 47.67156461734921)
7,POINT (-122.29259774078304 47.589967560121),4427,Mt. Baker Ridge Viewpoint,1403 31st Ave S,,,,,1280345.41494697,218616.25777479997,22924,POINT (-122.2536654423589 47.67156461734921)
8,POINT (-122.39698420406233 47.63267119401311),317,Magnolia Park,1461 Magnolia Blvd W,,,,,1254908.1187088,234695.72135072,22924,POINT (-122.2536654423589 47.67156461734921)
9,POINT (-122.3208255223382 47.6543597791041),4452,Northlake Park,699 NE Northlake Way,,,,,1273835.08380756,242233.26992388,22924,POINT (-122.2536654423589 47.67156461734921)
10,POINT (-122.30093242217757 47.58995122287305),4242,Sam Smith Park,1400 Martin Luther King Jr Way S,,,,,1278288.98008348,218649.40797097,22924,POINT (-122.2536654423589 47.67156461734921)
11,POINT (-122.28240326108694 47.609869776047134),370,Madrona Park,853 Lake Washington Blvd,,,,,1282997.27742539,225827.07274947,22924,POINT (-122.2536654423589 47.67156461734921)
12,POINT (-122.31766678572714 47.57813173575576),4159,12th Ave. S Viewpoint,2821 12TH Ave S,,,,,1274077.16075122,214418.06866464,22924,POINT (-122.2536654423589 47.67156461734921)
13,POINT (-122.38304273626825 47.59379678711595),3917,Don Armeni Park,1222 Harbor Ave SW,,,,,1258059.30531982,220449.03724572,22924,POINT (-122.2536654423589 47.67156461734921)
14,POINT (-122.3607799990982 47.652093318989756),3694,West Ewing Mini Park,244 W Ewing St,,,,,1263973.46311089,241599.58418338,22924,POINT (-122.2536654423589 47.67156461734921)
