,curbramps,marked,st_pkey,street_name,geometry
0,1,0,1000,1ST AVE,"LINESTRING (-122.3343140102779 47.60182781256348, -122.3340425371432 47.6017783259093)"
1,1,1,1185,1ST AVE S,"LINESTRING (-122.3340430632672 47.60163571897242, -122.3343146959924 47.60164707692326)"
2,1,1,13760,YESLER WAY,"LINESTRING (-122.3343146959924 47.60164707692326, -122.3343140102779 47.60182781256348)"
3,1,1,13761,YESLER WAY,"LINESTRING (-122.3340425371432 47.6017783259093, -122.3340430632672 47.60163571897242)"
4,1,1,1000,1ST AVE,"LINESTRING (-122.3341026859252 47.60253483195087, -122.3343344252134 47.6024392833077)"
5,1,1,1001,1ST AVE,"LINESTRING (-122.3344672350289 47.60258548851522, -122.3342336889556 47.60268318310987)"
6,1,1,9659,CHERRY ST,"LINESTRING (-122.3342336889556 47.60268318310987, -122.3341026859252 47.60253483195087)"
7,0,0,1001,1ST AVE,"LINESTRING (-122.3347568809608 47.60325425222345, -122.3349913930489 47.60315865468213)"
8,1,1,1002,1ST AVE,"LINESTRING (-122.3351108450164 47.60328673797547, -122.3348543469114 47.60339728203797)"
9,1,0,9727,COLUMBIA ST,"LINESTRING (-122.3349175264156 47.60324994510228, -122.3351108450164 47.60328673797547)"
10,1,1,9728,COLUMBIA ST,"LINESTRING (-122.3348543469114 47.60339728203797, -122.3347568809608 47.60325425222345)"
11,1,0,9738,COLUMBIA ST ON RP,"LINESTRING (-122.3349913930489 47.60315865468213, -122.3349175264156 47.60324994510228)"
12,1,1,1002,1ST AVE,"LINESTRING (-122.3353826614978 47.60397560140749, -122.3356583225476 47.60388603059388)"
13,1,1,1003,1ST AVE,"LINESTRING (-122.3357903935153 47.60398878597831, -122.335531781805 47.60409702006239)"
14,1,1,11662,MARION ST,"LINESTRING (-122.3356583225476 47.60388603059388, -122.3357903935153 47.60398878597831)"
15,1,1,11663,MARION ST,"LINESTRING (-122.335531781805 47.60409702006239, -122.3353826614978 47.60397560140749)"
16,1,1,1003,1ST AVE,"LINESTRING (-122.3360599680421 47.6046745504783, -122.3363206931685 47.60456862408667)"
17,1,1,1004,1ST AVE,"LINESTRING (-122.3364146012457 47.60471299766964, -122.3361603796269 47.60482603489644)"
18,1,1,11581,MADISON ST,"LINESTRING (-122.3363206931685 47.60456862408667, -122.3364146012457 47.60471299766964)"
19,1,1,11582,MADISON ST,"LINESTRING (-122.3361603796269 47.60482603489644, -122.3360599680421 47.6046745504783)"
20,1,1,1004,1ST AVE,"LINESTRING (-122.336689136357 47.60540406285505, -122.3369560542579 47.60530490173556)"
21,1,1,1005,1ST AVE,"LINESTRING (-122.3370437637904 47.60540073880374, -122.3368341056723 47.60552076890232)"
22,1,1,12859,SPRING ST,"LINESTRING (-122.3369560542579 47.60530490173556, -122.3370437637904 47.60540073880374)"
23,1,1,12860,SPRING ST,"LINESTRING (-122.3368341056723 47.60552076890232, -122.336689136357 47.60540406285505)"
24,1,0,1005,1ST AVE,"LINESTRING (-122.3373636206678 47.60609899039067, -122.3376029461994 47.60601135386252)"
25,1,1,1006,1ST AVE,"LINESTRING (-122.337727322272 47.60610552928915, -122.3374938328222 47.60624122612494)"
26,1,1,12771,SENECA ST,"LINESTRING (-122.3374938328222 47.60624122612494, -122.3373636206678 47.60609899039067)"
27,1,1,12786,SENECA ST OFF RP,"LINESTRING (-122.3376029461994 47.60601135386252, -122.337727322272 47.60610552928915)"
28,1,1,1006,1ST AVE,"LINESTRING (-122.3380291588949 47.60682617381273, -122.3382864721283 47.60671889033565)"
29,1,1,1007,1ST AVE,"LINESTRING (-122.3383907345737 47.60683322978537, -122.3381337040847 47.60694045084109)"
30,1,1,13200,UNIVERSITY ST,"LINESTRING (-122.3381337040847 47.60694045084109, -122.3380291588949 47.60682617381273)"
31,1,0,1007,1ST AVE,"LINESTRING (-122.338928953243 47.60781003527195, -122.3391758071728 47.60769393946228)"
32,1,1,1008,1ST AVE,"LINESTRING (-122.3392731206557 47.60783703366406, -122.3390548111791 47.60794764474951)"
33,1,1,13178,UNION ST,"LINESTRING (-122.3391758071728 47.60769393946228, -122.3392731206557 47.60783703366406)"
34,1,1,13179,UNION ST,"LINESTRING (-122.3390548111791 47.60794764474951, -122.338928953243 47.60781003527195)"
35,1,0,1008,1ST AVE,"LINESTRING (-122.3398562562333 47.60882384352595, -122.3400908950968 47.60873108081628)"
36,1,0,1009,1ST AVE,"LINESTRING (-122.3402516034622 47.60890676021062, -122.3399373271508 47.6089124698605)"
37,1,0,12196,PIKE ST,"LINESTRING (-122.3399952616128 47.60880117741297, -122.3402516034622 47.60890676021062)"
38,1,0,12197,PIKE ST,"LINESTRING (-122.3399373271508 47.6089124698605, -122.3398562562333 47.60882384352595)"
