,ID,curbramps,marked,street_name,v_coordinates,u_coordinates,adjacent_parks
0,1,1,0,1ST AVE,"(-122.33431401027788,47.60182781256348)","(-122.33404253714325,47.6017783259093)",[]
1,2,1,1,1ST AVE S,"(-122.33404306326725,47.601635718972425)","(-122.33431469599236,47.601647076923264)",[]
2,3,1,1,YESLER WAY,"(-122.33431469599236,47.601647076923264)","(-122.33431401027788,47.60182781256348)",[]
3,4,1,1,YESLER WAY,"(-122.33404253714325,47.6017783259093)","(-122.33404306326725,47.601635718972425)",[]
4,5,1,1,1ST AVE,"(-122.33410268592525,47.60253483195087)","(-122.33433442521338,47.602439283307696)",[]
5,6,1,1,1ST AVE,"(-122.33446723502887,47.60258548851522)","(-122.33423368895556,47.60268318310987)",[]
6,7,1,1,CHERRY ST,"(-122.33423368895556,47.60268318310987)","(-122.33410268592525,47.60253483195087)",[]
7,8,0,0,1ST AVE,"(-122.33475688096077,47.60325425222345)","(-122.33499139304887,47.603158654682126)",[]
8,9,1,1,1ST AVE,"(-122.33511084501639,47.60328673797547)","(-122.33485434691143,47.60339728203797)",[]
9,10,1,0,COLUMBIA ST,"(-122.3349175264156,47.60324994510228)","(-122.33511084501639,47.60328673797547)",[]
10,11,1,1,COLUMBIA ST,"(-122.33485434691143,47.60339728203797)","(-122.33475688096077,47.60325425222345)",[]
11,12,1,0,COLUMBIA ST ON RP,"(-122.33499139304887,47.603158654682126)","(-122.3349175264156,47.60324994510228)",[]
12,13,1,1,1ST AVE,"(-122.3353826614978,47.60397560140749)","(-122.33565832254762,47.60388603059388)",[]
13,14,1,1,1ST AVE,"(-122.33579039351534,47.60398878597831)","(-122.335531781805,47.60409702006239)",[]
14,15,1,1,MARION ST,"(-122.33565832254762,47.60388603059388)","(-122.33579039351534,47.60398878597831)",[]
15,16,1,1,MARION ST,"(-122.335531781805,47.60409702006239)","(-122.3353826614978,47.60397560140749)",[]
16,17,1,1,1ST AVE,"(-122.33605996804211,47.6046745504783)","(-122.33632069316846,47.60456862408667)",[]
17,18,1,1,1ST AVE,"(-122.3364146012457,47.604712997669644)","(-122.33616037962695,47.60482603489644)",[]
18,19,1,1,MADISON ST,"(-122.33632069316846,47.60456862408667)","(-122.33641460124569,47.604712997669644)",[]
19,20,1,1,MADISON ST,"(-122.33616037962695,47.60482603489644)","(-122.33605996804214,47.6046745504783)",[]
20,21,1,1,1ST AVE,"(-122.33668913635695,47.60540406285505)","(-122.33695605425794,47.605304901735565)",[]
21,22,1,1,1ST AVE,"(-122.33704376379039,47.605400738803745)","(-122.33683410567232,47.60552076890232)",[]
22,23,1,1,SPRING ST,"(-122.33695605425794,47.605304901735565)","(-122.33704376379039,47.605400738803745)",[]
23,24,1,1,SPRING ST,"(-122.33683410567232,47.60552076890232)","(-122.33668913635695,47.60540406285505)",[]
24,25,1,0,1ST AVE,"(-122.33736362066782,47.60609899039067)","(-122.3376029461994,47.60601135386252)",[]
25,26,1,1,1ST AVE,"(-122.33772732227196,47.606105529289145)","(-122.33749383282219,47.606241226124936)",[]
26,27,1,1,SENECA ST,"(-122.33749383282219,47.606241226124936)","(-122.33736362066782,47.60609899039067)",[]
27,28,1,1,SENECA ST OFF RP,"(-122.3376029461994,47.60601135386252)","(-122.33772732227196,47.606105529289145)",[]
28,29,1,1,1ST AVE,"(-122.33802915889488,47.606826173812735)","(-122.33828647212829,47.60671889033565)",[]
29,30,1,1,1ST AVE,"(-122.33839073457371,47.606833229785366)","(-122.3381337040847,47.606940450841094)",[]
30,31,1,1,UNIVERSITY ST,"(-122.33813370408473,47.606940450841094)","(-122.33802915889488,47.606826173812735)",[]
31,32,1,0,1ST AVE,"(-122.33892895324298,47.60781003527195)","(-122.3391758071728,47.60769393946228)",[]
32,33,1,1,1ST AVE,"(-122.33927312065569,47.60783703366406)","(-122.33905481117907,47.60794764474951)",[]
33,34,1,1,UNION ST,"(-122.3391758071728,47.60769393946228)","(-122.33927312065566,47.60783703366406)",[]
34,35,1,1,UNION ST,"(-122.33905481117907,47.60794764474951)","(-122.33892895324298,47.60781003527195)",[]
35,36,1,0,1ST AVE,"(-122.3398562562333,47.60882384352595)","(-122.34009089509684,47.608731080816284)",[]
36,37,1,0,1ST AVE,"(-122.3402516034622,47.60890676021062)","(-122.33993732715076,47.6089124698605)",[]
37,38,1,0,PIKE ST,"(-122.33999526161284,47.60880117741297)","(-122.34025160346224,47.60890676021062)",[]
38,39,1,0,PIKE ST,"(-122.33993732715076,47.6089124698605)","(-122.3398562562333,47.60882384352595)",[]
39,40,1,0,PIKE ST,"(-122.34009089509684,47.608731080816284)","(-122.33999526161284,47.60880117741297)",[]
40,41,1,1,1ST AVE,"(-122.34074992053199,47.60980072655827)","(-122.34096616357834,47.60968785034169)",[]
41,42,1,1,1ST AVE,"(-122.34110699532322,47.60984177111324)","(-122.34086301249475,47.60992432975925)",[]
42,43,1,1,PINE ST,"(-122.34096616357834,47.60968785034169)","(-122.34110699532322,47.60984177111324)",[]
43,44,1,1,PINE ST,"(-122.34086301249475,47.60992432975925)","(-122.34074992053199,47.60980072655827)",[]
44,45,1,1,1ST AVE,"(-122.34118621193164,47.61027751828556)","(-122.3413895756906,47.61015057022292)",[]
45,46,1,1,1ST AVE,"(-122.34150854253768,47.61028059174185)","(-122.34132399682566,47.61042509752872)",[]
46,47,1,1,STEWART ST,"(-122.34138957569063,47.61015057022292)","(-122.34150854253768,47.61028059174185)",[]
47,48,1,1,STEWART ST,"(-122.34132399682566,47.61042509752872)","(-122.34118621193164,47.61027751828556)",[]
48,49,1,1,1ST AVE,"(-122.34243299733473,47.61108410421904)","(-122.3426157896924,47.6109481071354)",[]
49,50,1,1,1ST AVE,"(-122.34278978362146,47.611051031563235)","(-122.34262110589061,47.611213601845066)",[]
50,51,1,1,VIRGINIA ST,"(-122.3426157896924,47.6109481071354)","(-122.34278978362146,47.611051031563235)",[]
51,52,1,1,VIRGINIA ST,"(-122.34262110589061,47.611213601845066)","(-122.34243299733474,47.61108410421904)",[]
52,53,1,1,1ST AVE,"(-122.34372233395327,47.6118653062971)","(-122.34391153835062,47.61171488253367)",[]
53,54,1,1,1ST AVE,"(-122.34409354863365,47.61181160780962)","(-122.34390434283152,47.61196202905038)",[]
54,55,1,1,LENORA ST,"(-122.34391153835062,47.61171488253367)","(-122.34409354863365,47.61181160780962)",[]
55,56,1,1,LENORA ST,"(-122.34390434283152,47.61196202905038)","(-122.34372233395327,47.6118653062971)",[]
56,57,1,1,1ST AVE,"(-122.34503148354496,47.61262833520606)","(-122.34522062287637,47.61247787329335)",[]
57,58,1,1,1ST AVE,"(-122.34540342084034,47.612582317701836)","(-122.34520016654064,47.612735362897936)",[]
58,59,1,1,BLANCHARD ST,"(-122.34522062287637,47.61247787329335)","(-122.34540342084034,47.612582317701836)",[]
59,60,1,1,BLANCHARD ST,"(-122.34520016654064,47.612735362897936)","(-122.34503148354496,47.61262833520606)",[]
60,61,1,1,1ST AVE,"(-122.34631061466905,47.61339213191309)","(-122.34651998643028,47.6132427032091)",['BELL STREET PARK BOULEVARD']
61,62,1,1,1ST AVE,"(-122.34670964482382,47.61335851167649)","(-122.34651438742517,47.61350535815042)",['BELL STREET PARK BOULEVARD']
62,63,1,1,BELL ST,"(-122.34651998643028,47.6132427032091)","(-122.34670964482382,47.61335851167649)",['BELL STREET PARK BOULEVARD']
63,64,1,1,BELL ST,"(-122.34651438742517,47.61350535815042)","(-122.34631061466905,47.61339213191309)",['BELL STREET PARK BOULEVARD']
64,65,1,0,1ST AVE,"(-122.34761920209367,47.61415871375766)","(-122.34784058322195,47.61402731424617)",[]
65,66,1,0,1ST AVE,"(-122.34802174544723,47.61413080608143)","(-122.34782641738633,47.61427761243082)",[]
66,67,0,0,BATTERY ST,"(-122.34784058322195,47.61402731424617)","(-122.34802174544723,47.61413080608143)",[]
67,68,1,0,BATTERY ST,"(-122.34782641738633,47.61427761243082)","(-122.34761920209367,47.61415871375766)",[]
68,69,1,1,1ST AVE,"(-122.34856705935658,47.61471561485564)","(-122.34875924474032,47.61456694900699)",[]
69,70,1,1,1ST AVE,"(-122.34892525667564,47.61467604465356)","(-122.3487384161242,47.614820584871254)",[]
70,71,1,1,WALL ST,"(-122.34875924474032,47.61456694900699)","(-122.34892525667564,47.61467604465356)",[]
71,72,1,1,WALL ST,"(-122.34873841612423,47.614820584871254)","(-122.34856705935658,47.61471561485564)",[]
72,73,1,0,1ST AVE,"(-122.34949101339365,47.615265565194946)","(-122.34966565728593,47.6151138127578)",[]
73,74,1,0,1ST AVE,"(-122.34988775974483,47.61523787039762)","(-122.34968335042775,47.61537930741929)",[]
74,75,1,0,VINE ST,"(-122.34966565728593,47.6151138127578)","(-122.34988775974483,47.61523787039762)",[]
75,76,1,0,VINE ST,"(-122.34968335042775,47.61537930741929)","(-122.34949101339365,47.615265565194946)",[]
76,77,1,1,1ST AVE,"(-122.35040679255125,47.615807208434674)","(-122.35060513111037,47.61566217961559)",[]
77,78,1,1,1ST AVE,"(-122.35082189105096,47.615790367206216)","(-122.35063309606284,47.61594468357906)",[]
78,79,1,1,CEDAR ST,"(-122.35060513111037,47.61566217961559)","(-122.35082189105096,47.615790367206216)",[]
79,80,1,1,CEDAR ST,"(-122.35063309606284,47.61594468357906)","(-122.35040679255125,47.615807208434674)",[]
80,81,1,1,1ST AVE,"(-122.35133798553781,47.61636147381132)","(-122.35155421425128,47.61622337749515)",[]
81,82,1,1,1ST AVE,"(-122.35176115716177,47.6163383259457)","(-122.35156173555221,47.61650092564009)",[]
82,83,1,1,CLAY ST,"(-122.35155421425128,47.61622337749515)","(-122.35176115716177,47.6163383259457)",[]
83,84,1,1,CLAY ST,"(-122.35156173555221,47.61650092564009)","(-122.35133798553781,47.61636147381132)",[]
84,85,1,1,1ST AVE,"(-122.35229215732998,47.61693195590475)","(-122.35250683260864,47.616778356524215)",[]
85,86,1,1,1ST AVE,"(-122.35272459865017,47.61691410814934)","(-122.35252326775398,47.61705738489702)",[]
86,87,1,1,BROAD ST,"(-122.35250683260864,47.616778356524215)","(-122.35272459865017,47.61691410814934)",[]
87,88,1,1,BROAD ST,"(-122.35252326775398,47.61705738489702)","(-122.35229215732998,47.61693195590475)",[]
88,89,1,0,1ST AVE,"(-122.35363366889794,47.617712323444515)","(-122.353831877155,47.617567203288196)",[]
89,90,1,0,1ST AVE,"(-122.35402714413082,47.61767868273991)","(-122.35384917180194,47.61782481757112)",[]
90,91,1,0,EAGLE ST,"(-122.35383187715503,47.617567203288196)","(-122.35402714413082,47.61767868273991)",[]
91,92,1,0,EAGLE ST,"(-122.35384917180194,47.61782481757112)","(-122.35363366889797,47.617712323444515)",[]
92,93,1,0,1ST AVE,"(-122.35404145105771,47.61793812281194)","(-122.35422533010335,47.61779546843199)",[]
93,94,0,0,1ST AVE,"(-122.35445531429173,47.61793108318837)","(-122.3542633560927,47.61807989047337)",[]
94,95,1,0,WARREN PL,"(-122.3542633560927,47.61807989047337)","(-122.35404145105771,47.61793812281194)",[]
95,96,1,0,1ST AVE,"(-122.354927105732,47.61847131497855)","(-122.35511906350665,47.6183225065895)",[]
96,97,1,0,1ST AVE,"(-122.35534147012045,47.618463013381145)","(-122.35504172013212,47.61853890406992)",[]
97,98,1,1,BAY ST,"(-122.35511906350665,47.6183225065895)","(-122.35534147012045,47.618463013381145)",[]
98,99,1,0,1ST AVE,"(-122.3554539774686,47.618499259958675)","(-122.35548410016065,47.618516136504134)",[]
99,100,1,1,1ST AVE N,"(-122.35556797894361,47.61868892981805)","(-122.35533669259327,47.61869900436428)",[]
100,101,1,0,DENNY WAY,"(-122.35548410016065,47.618516136504134)","(-122.35556797894361,47.61868892981805)",[]
101,102,1,0,DENNY WAY,"(-122.35533669259327,47.61869900436428)","(-122.3554539774686,47.618499259958675)",[]
102,103,1,0,1ST AVE N,"(-122.35532842724866,47.61969228604432)","(-122.35555958142479,47.61969863055161)",[]
103,104,1,0,1ST AVE N,"(-122.35555842499963,47.61983849312848)","(-122.35532729222646,47.61982940622082)",[]
104,105,1,0,JOHN ST,"(-122.35555958142479,47.61969863055161)","(-122.35555842499963,47.61983849312848)",[]
105,106,1,0,JOHN ST,"(-122.35532729222646,47.61982940622082)","(-122.35532842724866,47.61969228604432)",[]
106,107,1,0,1ST AVE N,"(-122.35531865954931,47.6208790739667)","(-122.35555002223114,47.620860754104754)",[]
107,108,1,0,1ST AVE N,"(-122.35554873728273,47.62101707110738)","(-122.35531773479286,47.62099151250367)",[]
108,109,1,0,THOMAS ST,"(-122.35555002223114,47.620860754104754)","(-122.35554873728273,47.62101707110738)",[]
109,110,1,0,THOMAS ST,"(-122.35531773479286,47.62099151250367)","(-122.35531865954931,47.6208790739667)",[]
110,111,0,0,1ST AVE N,"(-122.35530905702358,47.622046572924795)","(-122.35554026711941,47.62204744195315)",[]
